id	katman	repo	yol	rol	erisim	tez_kullanimi	dogrulama	sha256	metadata_utc
embu_parent_form	L1 form	doktoratezi	docs/protokol/KANONIK_KISALTILMIS_EMBU_EBEVEYN.md	EMBU-P kanonik form	repo içi kanonik	Anne/ebeveyn bildirimi ölçek tanımı	Veri haritası + psychometric tests	09c2b8e19795077b0ad86686e0960a17b5a50550b60ffb9d99d0d8144750452f	2026-06-30
embu_child_form	L1 form	doktoratezi	docs/protokol/KANONIK_KISALTILMIS_EMBU_COCUK.md	EMBU-C kanonik form	repo içi kanonik	Çocuk bildirimi ölçek tanımı	Veri haritası + psychometric tests	daa394e94db0ff45e99b85de3c8d89b5524f2ae2f25bab31bfb5a9c9bf6e248f	2026-06-30
beck_form	L1 form	doktoratezi	docs/protokol/KANONIK_BECK_DEPRESYON_ENVANTERI.md	Beck Depresyon Envanteri kanonik form	repo içi kanonik	Anne depresif belirti ölçümü	Veri haritası + H4 tests	571345a5e885f00ad1f8d0053a112215e860d7313cb7d7f5de98d67d75d7f471	2026-06-30
srq_form	L1 form	doktoratezi	docs/protokol/KANONIK_KARDES_ILISKILERI_ANKETI.md	KİA/SRQ kanonik form	repo içi kanonik	Kardeş ilişkileri ölçümü	Veri haritası + H2 tests	0b2edd3c527966d4ee5d680b7d03776530de4462b11ebe3348ed4335a14030c2	2026-06-30
demographic_medical_form	L1 form	doktoratezi	docs/protokol/KANONIK_DEMOGRAFIK_VE_TIBBI_BILGILER.md	Demografik ve tıbbi form	repo içi kanonik	Kovaryat ve klinik alan tanımları	Veri haritası + data governance	9c9c5fb6d915c9dd557f0c6751729100f783d16308a63a1b757f79e2d4a4e05c	2026-06-30
ses_form	L1 form	doktoratezi	docs/protokol/SOSYOEKONOMIK-STATU-DEGERLENDIRME.md	SES değerlendirme formu	repo içi kanonik	SES/meslek/ev olanakları kodları	SES composites tests	4200536bed3e41bb026390862bd0942fa0264c9fbb23e83ded711a7a97737d15	2026-06-30
sap_primary	L1 analiz	doktoratezi	docs/analiz_planlari/03-sap-ana-plan.md	Birincil SAP	repo içi kanonik	H1-H5 yöntem ve raporlama sınırı	R tests + CSR mapping		2026-06-30
sap_phase2	L1 analiz	doktoratezi	docs/analiz_planlari/04-sap-faz2-posthoc.md	Faz II/post-hoc SAP	repo içi kanonik	Keşifsel/post-hoc etiketleme ve sınır	Phase2 tests + CSR mapping		2026-06-30
qual_canonical_qmd	L2 nitel	T1DM Niteliksel	06_manuscript_outputs/niteliksel_kanonik_sonuclar.qmd	Tek kanonik nitel sonuç QMD	repo içi türetilmiş	Nitel bulguların tek kanonik temsil kaynağı	QMD render + nitel unittest + QMD doğrulama durumu	de19fda5d68c7b013a96ed4bed75431457b90417bff547d1f5fb3a605087240b	2026-08-01
qual_canonical_md_copy	L2 nitel	T1DM Niteliksel	06_manuscript_outputs/qualitative_canonical_results_for_doktoratezi.md	Kanonik QMD'nin Markdown kopyası	repo içi türetilmiş	QMD kullanılamayan bağlamlar için mekanik kopya	QMD ile içerik eşleşmesi; markdownlint yönergesi dışında aynı	7d6750481bf48861a4bcd6f73805625e3fc647c7e453ab34741d5ec070336303	2026-08-01
qual_codebook	L2 nitel	T1DM Niteliksel	03_analysis/codebook/codebook_v3.md	Nitel codebook	repo içi türetilmiş	Tema ve kod tanımı; gerektiğinde hedefli kontrol	codebook lint + v3 csv	443c7a1af1907c190c4384601a7e938f19600633116ef19647d06dcd20924a52	2026-08-01
qual_coreq	L2 nitel	T1DM Niteliksel	03_analysis/methodology/coreq_32_completed.md	COREQ checklist	repo içi türetilmiş	Nitel yöntem ve ekler	COREQ audit	bc6a1662a5d74eb52bd87969290a6a923847c7919f796724226e6a673622a20e	2026-06-30
qual_audit_trail	L2 nitel	T1DM Niteliksel	03_analysis/methodology/audit_trail.md	Nitel audit trail	repo içi türetilmiş	Yöntem ve refleksivite kanıtı	AI reliability log + audit trail	3cda76508b6c39c8008d7471fd6f1b09297bd5875f8d63ae26465a6361167db6	2026-06-30
qual_raw_interviews	L2 nitel	T1DM Niteliksel	01_raw_data/interviews_docx/	Ham nitel görüşmeler	korumalı	Varsayılan yazım kaynağı değil; doğrudan açılmaz/kopyalanmaz	Nitel privacy guard		2026-06-30
qual_protocol_docx	L2 nitel	T1DM Niteliksel	01_raw_data/ethics_protocol/dm_parenting_attitudes_ethics_protocol_2023_02.docx	Nitel/karma protokol dokümanı	korumalı	Yöntem gerekirse hedefli yerel kontrol; dış araca gönderilmez	KVKK plan + local review	942f4d951adb27b71afab2882aa877b4f44a5344bc1056b558788d23df5fc250	2026-06-30
qual_interview_guide	L2 nitel	T1DM Niteliksel	01_raw_data/interview_guides/qualitative_interview_questions.docx	Nitel görüşme rehberi	korumalı	Yöntem bölümünde araç tanımı için hedefli yerel kullanım	COREQ + methodology review	f6bbc15ab6e2daa11b05a7440628816363dbad876c9cd579d01c7778cf6fc471	2026-06-30
references_bib	L3 referans	doktoratezi	references/references.bib	Tez kaynakça veritabanı	repo içi	Citation key ve kaynakça üretimi	Zotero export + ledger		2026-06-30
reference_audit_ledger	L3 referans	doktoratezi	tez-yazim/02_kanit-haritalari/referans-denetim-ledgeri.md	Referans denetim ledgeri	repo içi	DOI/PMID/ID, full-text, Zotero ve claim takibi	Evidentia + Anna + Zotero + AI reliability		2026-06-30
