tarih,faz,arac,katman,gorev,girdi_kaynak,cikti_artefakt,dogrulama_durumu,insan_onayi,not
2026-07-24,F4-ingest,anamnesis (Workflow wzg7xrcw1; 50 alt-ajan),L2 RAG+graf,"Kisit-2 cozumu: 49 yuk-tasiyan NSCLC makalesini canli anamnesis substratina ingest (fetch->ingest_document->upsert_triples) + hybrid_query dogrulama",DOI-listesi,anamnesis corpus (doc_id=DOI, source=NSCLC-BP27),partial,evet,"48/49 ingest (1 basarisiz: Cicek 10.1111/crj.12985 minerva 429 rate-limit); corpus docs 116->164, chunks 127->175, nodes 160->824, edges 195->589 (+394 triple); hybrid_query k=8/30-edge saglikli, TAIL/IMpower110/TOG-Alan/Izmir on-topic. UYARI: doc-basi chunk=1 (~abstract-derinligi) -> 50 es-zamanli ajan Minerva'yi 429'ladi, sig fallback; tam-govde derinlestirme icin throttled re-ingest gerek"
2026-07-24,F2-tam-metin,openathens,L2/L5,"Kisit-1: OpenAthens Tier-3 temel oturum dogrulandi (validated:true); 4 yayinci SSO challenge armed",-,-,partial,hayir,"validated:false->true (fetch tetikledi); OUP/LWW/SAGE/T&F per-host challenge_required (pending_url'ler armed) -> host noVNC insan-adimi; OpenAthens sunucu-tarafi anamnesis link DOWN (excerpt donuyor); Kilickap govde DOI-uyusmazligi (OPDIVO KUB) flag"
2026-07-24,F4-ingest-derin,anamnesis (Workflow wq6coylci; 50 alt-ajan throttled BATCH=4) + Park tek-hedefli retry,L2 RAG+graf,"Kisit-2 derinlestirme: 49 NSCLC makalesini TAM-GOVDE yeniden ingest (Minerva 429 kaciniminda parti-parti fan-out; EPMC/PMC derinlik backstop; ayni DOI uzerine yazarak sig kayitlari degistir)",DOI-listesi,anamnesis corpus (doc_id=DOI, source=NSCLC-BP27),verified,evet,"48/49 workflow + Park 2025 (10.21037/tlcr-2024-1112) retry (PMC12082245) = 49/49 TAM-GOVDE, 0 abstract-only; +717 chunk, +531 triple; corpus chunks 175->845; hybrid_query k=10/40-edge doygun, Methods/Results govde-derinligi dogrulandi (OAK DoT 3,4 ay; TAIL 3,15 ay; PACIFIC PFS 16,8 ay); ~12,9M alt-ajan token"
2026-07-24,F4-rechunk,anamnesis (Workflow wrko0xffg; 12 alt-ajan) + IMpower110 kontrollu test,L2 RAG,"Derinlik-kalite onarimi: tam-govde inen ama tek MONOLITIK chunk olarak depolanan 13 dokumani semantic_search(k=1)->yeniden-ingest(max_tokens=400, break_threshold=0,4) ile segmentle (harici fetch yok, Minerva'ya dokunmaz; depolanan chunk zaten sadik tam govde)",monolitik doc_id listesi,anamnesis corpus,verified,evet,"13/13 bolundu (IMpower110 1->18 test + 12 dokuman 7-22 chunk/doc); corpus chunks 845->998; FINAL: docs 165, chunks 998 (~5,7x baslangic 175), nodes 1540, edges 1104; spot-check POSEIDON & Cangir artik 4 ayri idx donduruyor (eskiden tek idx0 blob)"
2026-07-25,F4-tam-metin,annas-reader+pubmed-epmc+minerva,L2 tam-metin,"Kapagan 10.1177/10781552251389883 (J Oncol Pharm Pract, SAGE) tam-metin denemesi (kullanici yonlendirmesi: annas dene)",DOI,-,unverified,evet,"annas article_search metadata BULDU (Kapagan T 2025 metabolik durum x nivolumab NSCLC) ama read_article SciDB 404; pubmed convert PMID/PMCID eslemesi YOK; minerva fulltext 404 -> hicbir acik tier govde vermiyor; kalan yol OpenAthens Tier-3 SAGE (host noVNC). Dusuk yuk-tasiyan (nivolumab metabolik-belirtec, BP27 atezolizumab cekirdegine tegit)"
2026-07-25,F4-tam-metin,anamnesis (Workflow wo84fpnma; 5 alt-ajan) + kullanici-sagladigi host-PDF'ler,L2 tam-metin RAG+graf,"Kisit-1 buyuk cozum: 4 host-tarafi PDF ingest + DOI<->icerik BUTUNLUK yeniden-kontrolu (her ajan uyusmazsa ingest ETMEZ) + dogru chunking (max_tokens=400)",kullanici PDF (NSCLC/*.pdf),anamnesis corpus,verified,evet,"4/4 butunluk PASS (uydurma/yanlis-govde yok); Nations 10.1093/milmed/usaa218 TAM-GOVDE 16 chunk (ACTUR n=21031 evre IV %33,6 / evre III %26,1 / evre I %24,7 vs SEER n=773356 %40,5/%26,4/%20,6); Basdemirci 10.4103/ijc.IJC_766_19 TAM-GOVDE 6 chunk (doc-filtreli teyit; KRAS %31,2 (20/64), kodon12 %21,9 G12V en sik, adeno %72,7 vs SqCC %22,9 P=0,008, NSCLC %35,4 vs SCLC %18,8); Kilickap/Karadurmus 10.1080/03007995.2024.2359026 TAM-GOVDE 7 chunk (N=244, medyan OS 18,6 ay, medyan PFS 5,85 ay, 1-yil OS %61,1, ORR ~%34,7/27,3 — eski OpenAthens OPDIVO-KUB DOI-uyusmazligini COZER); Kapagan 10.1177/10781552251389883 ABSTRACT-ONLY EBSCO karti 2 chunk (N=148, PFS 5,3 / OS 15,8 ay, ECOG+karaciger-met+mREE/pREE>120% kotu prognoz). corpus docs 165->170, chunks 998->1030. FLAG: Nations/Basdemirci/Kilickap unverified->VERIFIED; Kapagan abstract-verified (govde yok). Kalan TEK acik gap: Midha 2015 PMID 26609494 (DOI-siz PMC-only). Telif: PDF'ler NSCLC/ kokunde; commit edilmez (Nations OUP tum-haklar-sakli; 04_extraction/fulltext git-disi konvansiyonu)"
2026-07-25,F2-F6,GDM science-skills (Workflow wmkg2iem2; 4 alt-ajan) — ctgov+openfda+iuphar+opentargets+openalex,L1 kayit + L5 baglam + L1 lead,"Playbook science-skills katmani uygulamasi: BP27 dossier zenginlestirme; 4 serit (A CT.gov kayit-lead, B openFDA reg-baglam, C mekanizma/OpenTargets baglam, D atif-snowball lead)",BP27 kaynak seti + canli API'ler,08_reports/bp27_atezolizumab_tr_science_skills_enrichment.md,verified,evet,"KANIT!=BAGLAM korundu (CT.gov=registry_lead, openFDA/OT/GtoPdb=context, snowball=lead; etki sayisi YALNIZ L2). A: 9/9 pivotal NCT canli teyit (IMpower110 NCT02409342 ... POSEIDON NCT03164616 ACTIVE_NOT_RECRUITING), TR ayak izi atezo-NSCLC 15 / tum-IO 126 / suregelen-2L-atezo 20, TRIMPACT NCT07279402 TR-yerli RWE. B: TECENTRIQ BLA761034 onay 2016-05-18 + 2L-NSCLC endikasyonu DURUYOR (cekilme urotelyaldi, NSCLC degil), IMFINZI BLA761069 EvreIII s002 2018-02-16; Boxed Warning yok; FAERS ilk-8 kendiliginden-bildirim (insidans degil). C: atezo/durva anti-PD-L1 (GtoPdb 7990 pKd9-10 / 7985 pKd8.7); OT NSCLC MONDO_0005233 iliski EGFR 0,888/KRAS 0,834/ALK 0,813/CD274 0,702 + tractability surucu=SM, PD-L1=antikor. D: 12 YENI TR/RWE aday (5 load-bearing: 10.1080/14796694.2025.2527477, 10.3390/genes16121446, 10.1002/ijc.70628, 10.1007/s40487-025-00381-z, 10.3390/jcm15062406) L2 kuyruguna. G-SKILL kapilari PASS; uydurma-NCT/DOI yok. ask_pipeworx evidentia G-WHITELIST guard'iyla ENGELLI -> whitelisted MCP + CT.gov/OT acik-API kullanildi"
2026-07-25,F4-cikarim-L2,anamnesis (Workflow wjnus112u; 6 alt-ajan) — EPMC/PMC+minerva+annas kaskad,L2 tam-metin (evidence),"5 yuk-tasiyan TR/RWE lead'ini L2 tam-metne terfi: kaskad fetch + DOI<->icerik butunluk + BP27 cikarim + ingest (max_tokens=400). Sayilar artik L2=evidence (lead degil)",5 DOI (snowball lead'leri),08_reports/bp27_atezolizumab_tr_science_skills_enrichment.md §G,verified,evet,"4/5 terfi (butunluk PASS); 1 unfetchable=IJC 10.1002/ijc.70628 (hicbir tier, dururst gap). ESTIMATE 10.1080/14796694.2025.2527477 (minerva; TR N=636, 12 merkez; 1L IO TOPLAM ~%11,5 [kombo-IO %6 + mono-IO %5,5]; PD-L1 test %55,5; EGFR %22,1); Canaslan 10.3390/genes16121446 (PMC12733280; TR N=1023; surucu-neg ~%72 [hedeflenebilir %28,3]; PD-L1 TPS<1 %47,8/1-49 %34,4/>=50 %17,8; medyan OS 14,4 ay); LIST 10.1007/s40487-025-00381-z (PMC12647469; Fransa N=522; 2L nivo medyan PFS 3,2/2,7/3,9 ay OS 12,3/9,5/10,4 ay; harici 2L-IO komparatoru); JCM 10.3390/jcm15062406 (PMC13027139; TR N=65 PD-L1>=50 1L; PFS 24,2/OS 34,6 ay; kollar-arasi fark yok; TPS>=90 guclu prognostik). corpus docs 170->174, chunks 1030->1051; 60 lokatorlu bulgu. Kaynak-tekilligi+no-fabrication PASS"
2026-07-25,F4-cikarim-L2,anamnesis (1 alt-ajan) + kullanici host-PDF,L2 tam-metin (evidence),"IJC gap kapanisi: 10.1002/ijc.70628 (onceden unfetchable) host-PDF ile butunluk-kontrollu ingest",kullanici PDF (NSCLC/IntlJournalofCancer-2026-...pdf),08_reports/bp27_atezolizumab_tr_science_skills_enrichment.md §G.5,verified,evet,"Butunluk PASS (Wiley/UICC; Zahwe/Eser; IARC SURVCAN-3+4; 8 TR kayit; akciger dahil); 16 chunk, 8 triple. Akciger 5-yil ASRS her iki donemde <%15 (5 bas kanser icinde EN DUSUK); 2013-2017 aralik %10,7 Edirne - %19,4 Trabzon; yas acigi ters (>=65 +0,6pp vs <65 +3,2pp); cinsiyet Bursa E%12,6/K%22,7; UK %17,4 / Kanada %24,8 altinda; sigara %31,6 ~%90 tutune-atfedilebilir. 1yr/3yr akciger ve akciger-evre kirilimi ana metinde YOK -> atlandi (no-fabrication). corpus docs 174->175, chunks 1051->1067. 5 lead terfisi TAMAM (5/5); telif: Wiley PDF commit edilmez"
2026-07-25,F4-F6-primer,titck-cache + mevzuat-bilgisi (Workflow wi4z9y0tr; 3 alt-ajan),L5 reg-baglam (primer),"Yol 1: TR BIRINCIL regulatif dogrulama — TITCK KUB (atezo+durva) + SUT primer metin; problem.md §3.1-3/7 §5.1 §7.2-7.3 iddialarini primer kaynakla test",TITCK KUB PDF + SUT mevzuatId 112062,08_reports/bp27_atezolizumab_tr_science_skills_enrichment.md §H,verified,evet,"KRITIK: ruhsat!=geri-odeme primer ayrimi. Atezolizumab 2L KHDAK KUB'de RUHSATLI (barkod 8699505763460; ECOG 0-1, 1-2 kemoterapi sonrasi progresyon, EGFR/ALK/ROS-neg, PD-L1 esigi YOK — 1L mono TC>=50 kontrasti) ama SUT konsolide (mevzuatId 112062, kesim ~24/5/2025) tam metninde atezolizumab 0x, durvalumab 0x; KHDAK 2L geri-odemeli tek IO=NIVOLUMAB -> Cangir 2022 PRIMER teyit. Durvalumab IMFINZI KUB (barkod 8699786770904): Evre III PD-L1>=1/cCRT-progresyonsuz/monoterapi/12ay CONFIRMED; '6 AY KURALI' primer REFUTED (uygunluk=progresyonsuzluk, zaman penceresi degil); ardisik-IO 'durvalumab sonrasi PD-1/PD-L1 kullanilamaz' CONFIRMED. Kapatilan: §3.1-3/7/8, §7.2, §8.1 ardisik-IO. ACIK SINIR: 10/07/2025 SUT degisikligi bedesten snapshot'inda YOK (durvalumab Evre III geri-odeme yolu primer dogrulanamadi). corpus docs 175->178, chunks 1067->1073. Alintilar verbatim TR (RBS); KVKK: kamu regulatif metin"
2026-07-25,setup+F4,resmi-gazete-mcp kayit + RG fetch denemesi (1 alt-ajan),L5 reg-baglam,"Kalan primer bosluk (10/07/2025 SUT degisikligi) kapatma denemesi: kullanici resmi-gazete-mcp connection sagladi",kullanici MCP connection + RG 20250710 PDF,.mcp.json + .env (config),partial,evet,"resmi-gazete-mcp .mcp.json'a env-expand ile KAYDEDILDI (token gitignored .env RESMI_GAZETE_MCP_API_KEY; .mcp.json'da literal token YOK, sizinti-kontrol temiz) -> sonraki oturumda aktif. RG FETCH BU OTURUMDA BASARISIZ: resmigazete.gov.tr + tum *.gov.tr sandbox'tan ag-erisilemez (firewall/geoblock; curl/WebFetch/jina/allorigins/mevzuat-bedesten hepsi fail). Uydurma yok, ingest yok. 10/07/2025 durvalumab Evre III geri-odeme yolu HALA acik -> sonraki oturumda resmi-gazete-mcp (Cloudflare Worker, sunucu-tarafi) ile kapatilacak. Metadata teyidi: RG 32952 = 10/07/2025 kronolojik tutarli (32933@21/06, 32963@22/07 arasinda)"
2026-07-25,F4-primer,resmi-gazete-mcp worker (curl/JSON-RPC; 1 alt-ajan resume),L5 reg-baglam (primer),"resmi gazeteyi kullan: 10/07/2025 SUT degisikligini resmi-gazete-mcp worker'indan cekme denemesi (sonraki-oturum config yerine ayni oturumda curl/JSON-RPC ile)",resmi-gazete-mcp worker (Cloudflare) + .env token,08_reports/bp27_atezolizumab_tr_science_skills_enrichment.md §H,partial,evet,"Worker ERISILEBILIR (initialize 200, mcp-session-id, 9 tool: rg_get_issue_toc/rg_get_item/rg_search/rg_list_recent/rg_resolve_date/rg_get_pdf/rg_info/rg_ocr_submit/rg_ocr_result). Item POZITIF DOGRULANDI: 'SGK SUT Degisiklik Tebligi' RG 32952 10.07.2025 item13 (20250710-13.pdf) = problem.md atfiyla ayni. ANCAK GOVDE CEKILEMEDI: 219 syf (>OCR limit 200) + 22.2MB (>senkron 12MB) + arac semasinda sayfa-araligi/offset YOK + .htm varyanti yok (PDF-only) + icerik-indeksi PDF govdesini kapsamiyor. durvalumab/atezolizumab KHDAK maddesi verbatim ALINAMADI; uydurma yok, ingest yok. Kapatma: (a) host-PDF 20250710-13.pdf (kanitlanmis pdftotext yolu) veya (b) worker sahibi sayfa-araligi/limit yukseltmesi. §7.2 durvalumab Evre III geri-odeme HALA acik; diger tum reg iddialar primer kapali"
2026-07-27,F4-primer-KAPANIS,anamnesis + tesseract OCR (host-PDF 20250710-13.pdf),L5 reg-baglam (primer),"KAPANIS: 10/07/2025 SUT degisikligi (RG 32952) host-PDF ile OCR (taranmis fax-image, metin katmani yok -> worker size-blocked idi); butunluk PASS; 4.2.14.C yeni fikra(3) tam KHDAK IO cikarildi + ingest",kullanici host-PDF NSCLC/20250710-13.pdf,08_reports/bp27_atezolizumab_tr_science_skills_enrichment.md §H.6,verified,evet,"BP27 CEKIRDEK DUZELTMESI: MADDE 1 eski (ee)/(pp) mulga -> yeni fikra(3) konsolide. 10/07/2025 itibariyla 2L metastatik KHDAK'de HEM atezolizumab (c)3: ECOG 0-1, onceki 1-2 basamak kemoterapi+progresyon, EGFR/ALK/ROS-neg, PD-L1 esigi YOK, ardisik-IO dislama) HEM nivolumab (a)14: onceki 1 basamak) GERI-ODEMELI -> 'yalniz nivolumab' (Cangir 2022 + amendman-oncesi 24/5 snapshot) ARTIK GECERSIZ. Atezolizumab 2L = hem ruhsatli (KUB) hem SGK-odemeli (kosul KUB ile birebir). Ayrica durvalumab Evre III (c)2: PD-L1>=1, KRT sonrasi progresyonsuz, monoterapi, <=12 ay -> §7.2 primer teyit) + atezo 1L PD-L1>=50 (c)2) + adjuvan (c)1). Tum ajanlarda ardisik/onceki-IO dislamasi (§8.1 primer). '6 ay kurali' yok teyit. MADDE 5: durva/atezo/pembro/ipi EK-4/D katilim-payi muaf. Yururluk: yayimdan 10 is gunu sonra. corpus docs 178->179, chunks ->1076. KALAN PRIMER BOSLUK YOK. Alintilar OCR-normalize (RBS); kanonik nusha RG 32952 PDF"
2026-07-27,F6-F8-yansitma,koordinator (dogrudan Edit),L2+L5 sentez,"10/07/2025 SUT birincil bulgusunu (atezolizumab 2L geri-odemeli) ana dossier + sentez dosyalarina yansit (RBS: kohort-donem verisi carpitilmadan tarihli duzeltme)",08_reports/...science_skills_enrichment.md §H.6,06_synthesis/bp27_atezolizumab_tr_synthesis.md + 08_reports/bp27_atezolizumab_tr_fulltext_dossier.md,verified,evet,"Sentez Eksen 5: KISMI-DOGRULANDI->DOGRULANDI + GUNCELLEME blogu; atezo 2L bendi portal->birincil (KUB+SUT c)3); '6 ay kurali' unverified->birincil curutuldu; D5 KAPANDI; cozulemeyen madde 1-2 COZULDU. Dossier: Izmir Yavuz satiri inline-not (kohort-donem korundu) + Sentez G sonrasi GUNCELLEME blogu + §I kalan-bosluklar (5 abstract-only host-PDF ile cozuldu, tek kalan Midha; TR reg primer kapali). Kohort verileri (Izmir/TOG/Kilickap) degistirilmedi — yalniz tarihli forward-not. Sayilar §H.6/enrichment'a izlenebilir"
2026-07-27,F2-F6-PDL1,pubmed-epmc+openalex+semantic-scholar+anamnesis (Workflow wf5b9c8qd; 3 alt-ajan),L2 kanit + L5 baglam,"PD-L1 TPS>=50 kapsamli arastirma + global kiyas: 3 serit (TR prevalans / global benchmark / metodolojik fark)",BP27 korpus + literatur,08_reports/bp27_atezolizumab_tr_science_skills_enrichment.md §I,verified,evet,"DUZELTME: '~%18' (Canaslan) TR alt ucu (metastatik-only, klon-NR, driver-zengin). TR all-comer 22C3 en iyi tahmin ~%22-28 (Dulger 22C3 %27,5; Gurbuz %23,4; Soyler %22,2). Teoman %12,5 EGFR-mutant-only (havuzlanmaz). Global: EXPRESS all-comer 22C3 %22 (EGFR-WT %27); KEYNOTE-024 taranmis ~%30 (paywall, OA-dogrulanmadi); IMpower110 SP142 'high' KIYASLANAMAZ (Blueprint: SP142 az boyar). Fark suruculeri: payda/case-mix (en buyuk), assay (SP142 vs 22C3), okuyucu-degiskenligi >50 kesiminde, biyoloji (EGFR/STK11 dusuk PD-L1), pre-analitik. HUKUM: elma-elmaya (22C3 all-comer EGFR-WT) TR ~%27,5 ≈ global ~%27 -> TR anormal dusuk DEGIL. BP27 1L atezo (c)2 PD-L1>=50) carpani ~%25-30 (EGFR/ALK-WT icinde), %17,8 degil (~%35 kucumser); PD-L1>=1 (durva Evre III) ~%50-52. 2L atezo (c)3) PD-L1 esigi YOK. Kaynak-tekilligi+RBS korundu"
2026-07-27,F6-yansitma,koordinator (dogrudan Edit),L2+L5 sentez,"PD-L1>=50 kapsamli kiyas bulgusunu (§I) sentez + dossier'e yansit",08_reports/...science_skills_enrichment.md §I,06_synthesis/bp27_atezolizumab_tr_synthesis.md (Eksen 6) + 08_reports/bp27_atezolizumab_tr_fulltext_dossier.md (§125 Bolgesel capa + §127 Sentez F),verified,evet,"Dossier zaten %27,5 kullaniyordu (%18 degil) -> §125 global EXPRESS capasi ile zenginlestirildi (all-comer %22, EGFR-WT %27; Canaslan %17,8 alt-uc notu; SP142/taranmis artefakt aciklamasi); §127 Sentez F'e BP27 carpani eklendi (1L atezo PD-L1>=50 hedef = EGFR/ALK-WT ~%25-30, %17,8 degil). Sentez Eksen 6'ya PD-L1 TR-vs-global kapsamli not + sasele carpani eklendi. Tum degisiklikler §I'ya cross-ref; RBS: kohort paydalari korundu"
2026-07-27,F6-baz-defteri,koordinator + Workflow wihtn85r8 (5 alt-ajan),L2 kanit + L5 baglam + yerel-veri cercevesi,"Farid sorularini genis perspektife oturtan BP2027 TR NSCLC baz veri+varsayim defteri: 5 serit (epi/molekuler/hat-akis-DoT/regulatif-2027/yerel-veri) -> tek izlenebilir parametre defteri",BP2027 korpus + literatur + SUT/KUB + GLOBOCAN,08_reports/bp2027_tr_nsclc_baz_veri_varsayim_defteri.md,verified,evet,"Uc-katman baz (E kanit priorleri / C 10-07-2025 primer regulatif / L yerel-veri). Kilit: (1) GLOBOCAN duzeltme 41.032 (2022; problem.md '2024 37.846' = ASR atif hatasi); (2) evre IV ~%50 / III ~%28; NSCLC %79,6; 5-yil sagkalim <%15; (3) surucu-neg ~%72-77, PD-L1>=50 all-comer 22C3 %27,5 (~global), 1L hedef EGFR/ALK-WT %25-30; (4) 1L mono RMST 10,3 ay (medyan degil), 2L atezo DoT 3,4 ay uzun-kuyruk %21>12ay/TBP %40, 1L->2L post-IO %21-44, 2L IO-naif ~%100->kuculuyor; (5) 10/07/2025 SUT: atezo 1L (c2 PD-L1>=50) + 2L (c3 esiksiz) + nivo 2L (a14) + durva EvreIII (c2) geri-odemeli, ardisik-IO dislama tum ajanlarda -> problem.md §6 pazar-payi payda RE-BASE sart; (6) mutlak sayi/progresyon->TEC donusumu/aylik akis = L yerel (§13-14 model). Her satir tier+payda+kaynak+guven; RBS korundu; uydurma yok"
2026-07-27,F7-denetim,HARD scripts + Workflow wykmnr4w2 (4 alt-ajan galileo-audit),L3 sci-audit + L4 galileo,"Formal denetim: BP2027 degerlendirme paketi (baz-defteri+dossier+enrichment+sentez) HARD deterministik + LLM 4-eksen (A atif / B-D grounding+overclaim / C aritmetik / G Turkce-coherence)",08_reports/*.md + 06_synthesis,08_reports/bp2027_tr_nsclc_f7_certificate.md,verified,evet,"HARD PASS (extraction-dir/context-guard/turkish-p temiz; self-test 21/21; source_singularity N/A-kapsam cok-kaynakli sentez icin; prisma SKIP narratif-derin-lit). LLM 0-BLOCKER: A PASS 15/15 kimlik gercek+dogru-atifli (OpenAlex/CT.gov/RG32952 API); G PASS galileo_coherence 0,506 + tier/payda disiplini; B-D + C SOFT. Uygulanan duzeltmeler: (1) PD-L1 'TR≈global' payda-uyusmazligi -> payda-eslesmeli (TR all-comer 22C3 %27,5 vs global all-comer EXPRESS %22; EGFR-WT %27 ayri-payda capa); (2) hatali prevalans 49.303 -> GLOBOCAN2022 54.335; (3) kapital P->p; (4) 5-yil baz 'cogu kayitta <%15'; (5) ESTIMATE %104,7 partisyon F7-C notu. Duzeltme sonrasi turkish_p 3/3 temiz. Kalan advisory: TOG-Alan cift-kullanim (evre teyidi), ~3,15 prior precision, '%35 kucumser' hesap-goster. HUKUM: provisional-pass (certified-final acik onayla). galileo canli judge+embedding"
2026-07-27,F8-rapor,koordinator (sentez),L2+L5 nihai rapor,"Tum bulgulari tek otoriter belgede toplayan kapsamli NIHAI rapor (versiyonsuz dil: surec/tarih/workflow-id/provisional iskelesi yok; her sayi kaynak-bagli)",tum NSCLC calisma belgeleri (dossier+enrichment+sentez+baz-defteri+F7-sertifika),08_reports/turkiye_nsclc_atezolizumab_kapsamli_rapor.md,verified,evet,"13 bolum: yonetici ozet / kanit-butunluk cercevesi (E-C-L katman + RBS) / TR epidemiyoloji / molekuler+PD-L1 / ruhsat+geri-odeme (KUB+SUT birincil: atezo 1L+2L, durva EvreIII, nivo 2L, ardisik-IO dislama, 6-ay-kurali-yok) / DoT-RMST+hat-akisi+atrisyon / EvreIII yolu / pazar-payi re-base / BP2027 baz parametre defteri / Farid 4-soru nihai / butunluk-dogrulama / sonuc-stratejik / kaynaklar. Versiyonsuz otoriter dil; F7 duzeltmeleri (PD-L1 payda-eslesme, prevalans, imla) yansimis; her sayi DOI/RG/GLOBOCAN/KUB-bagli; uydurma yok; RBS+kanit≠baglam korundu"
