"id","title","related_analysis","chapter_ref","mode","source_doc","original_png","source_png_md5","svg_file","svg_bytes","svg_md5","fidelity_status","carbon_style_status","carbon_aesthetic_status","technical_diagram_role","technical_native_status","technical_diagram_status","non_carbon_hex_count","non_carbon_rgb_count","chart_palette_hits","text_primary_hits","text_secondary_hits","grid_hits"
"h4_sem_path","H4 latent SEM yol diyagramı","H4 Beck -> EMBU-P SEM","@fig-h4-sem-path","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/h4_sem_path.png","9316091d4335af1c993c1c3bfa7f6080","docs/assets/figures/carbon/primary/fig-11-h4-sem-path.svg",7318,"f5a86bdf96170a5463ff34643ac3befa","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts","Large node + Connector line ending + Label text","PASS: custom Technical Diagram SVG; no chart grid/axis/raster layer","PASS: full Figma Technical Diagram Library SVG",0,0,0,0,0,0
"h5_ba_grid","H5 Bland-Altman tutarlılık haritası","H5 manifest uyum","@fig-h5-bland-altman","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/h5_ba_grid.png","368c6115382afe99b02d48c2c679a2ec","docs/assets/figures/carbon/primary/fig-12-h5-ba-grid.svg",1476966,"1c1cae6789c3501d1e0bd3bf45ba47ed","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,0,11,27,91
"h5_rsa_surface","H5 yanıt yüzeyi analizi (RSA)","H5 RSA uyum yüzeyi","@fig-h5-rsa-surface","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/h5_rsa_surface.png","440ab4507949bd25de38ee0b093c5e22","docs/assets/figures/carbon/primary/fig-13-h5-rsa-surface.svg",2857927,"bdfdc1981d9754fa66bf6af34abc69c6","PASS: native SVG; heatmap/surface benzeri raster katman içeriyor","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts; raster/gradient istisnası notlandı",NA,"N/A","N/A",0,481,0,16,26,53
"mediation_effects","Aracılık yol ve dolaylı etki özeti","KISIM VI mediation","@fig-mediation-effects","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/mediation_effects.png","3497972c082151d33d74877905d8db2c","docs/assets/figures/carbon/primary/fig-14-mediation-effects.svg",179313,"225c5241b572c7b9ff0a7af9c02546be","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,0,5,22,34
"lpa_fit_indices","LPA model seçim tanıları","KISIM VII LPA","@fig-lpa-fit-indices","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/lpa_fit_indices.png","64223b40e8eae33f9292c1690c8bfa6e","docs/assets/figures/carbon/primary/fig-15-lpa-fit-indices.svg",153348,"e080c0ae581c48492c7342da07650825","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,0,33,25,30
"network_graph","EBIC-LASSO Gauss grafik modeli","KISIM VIII ağ modeli","@fig-network-graph","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/network_graph.png","6632814a0505e846733dad3d4f1235b2","docs/assets/figures/carbon/primary/fig-16-network-graph.svg",8510,"8eda7d17c53f5df5e94eb7ae34a837ec","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts","Small node + Connector + Legend","PASS: custom Technical Diagram SVG; no chart grid/axis/raster layer","PASS: full Figma Technical Diagram Library SVG",0,0,0,0,0,0
"network_nct","Ağ Karşılaştırma Testi (NCT) özeti","KISIM VIII NCT","@fig-network-nct","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/network_nct.png","382136e3639ed637bc48f603fa0a5ced","docs/assets/figures/carbon/primary/fig-17-network-nct.svg",131096,"eed8b1a7739fdbbcdfc70e38bece7115","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,0,2,8,7
"clinical_roc","Klinik risk modeli ROC eğrisi","KISIM IX ROC","@fig-clinical-roc","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/clinical_roc.png","308198717425fa8f85378d25bef4f65d","docs/assets/figures/carbon/primary/fig-18-clinical-roc.svg",193755,"7a70d62d2f97630cfccd86839ee422ed","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,0,4,13,10
"clinical_dca","Klinik karar eğrisi analizi","KISIM IX DCA","@fig-clinical-dca","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/clinical_dca.png","2149fc8cbfc56b26f8224517b964611f","docs/assets/figures/carbon/primary/fig-19-clinical-dca.svg",147896,"9e5ad597cffbdb338eb1ae51313d1382","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,0,3,12,8
"clinical_calibration","Klinik risk kalibrasyon grafiği","KISIM IX kalibrasyon","@fig-clinical-calibration","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/clinical_calibration.png","91583df77b4d8426cfb3026d87d97b6d","docs/assets/figures/carbon/primary/fig-20-clinical-calibration.svg",135544,"a5c156264001ce6f5577e372832a0bf6","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,0,4,16,10
"clinical_cart_rf","CART/RF tamamlayıcı klinik tanıları","KISIM IX CART/RF","@fig-clinical-cart-rf","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/clinical_cart_rf.png","33046250bb8703dc0e82e8537b054bc5","docs/assets/figures/carbon/primary/fig-21-clinical-cart-rf.svg",166768,"e008136123add04353c5ca231ad8d697","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,0,21,23,24
"specification_curve","Specification curve","KISIM XI multiverse","@fig-specification-curve","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/specification_curve.png","89ef41db42bb94b15f6c7e4970850e47","docs/assets/figures/carbon/primary/fig-22-specification-curve.svg",222748,"397f6de5ba6c0fb1d589fe22333da67c","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,0,8,24,32
"sensemakr_contour","Sensemakr duyarlılık konturu","KISIM XI sensemakr/E-value","@fig-sensemakr-contour","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/sensemakr_contour.png","3be4db4d5dea179961bbf4501b318af1","docs/assets/figures/carbon/primary/fig-23-sensemakr-contour.svg",665984,"4eaab9714f34b536e69233067bb3a300","PASS: native SVG; heatmap/surface benzeri raster katman içeriyor","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts; raster/gradient istisnası notlandı",NA,"N/A","N/A",0,0,0,7,21,8
"bayesian_forest","Bayesçi posterior forest","KISIM XII Bayesçi forest","@fig-bayesian-forest","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/bayesian_forest.png","90f4e26e2d8420df773a9ea90d0c43f4","docs/assets/figures/carbon/primary/fig-24-bayesian-forest.svg",159735,"0f8b08073632eb8779b9549998d680f1","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","REVIEW: renk/metadata elle bakılmalı",NA,"N/A","N/A",0,1,0,5,16,22
"bayesian_diagnostics","Bayesçi MCMC tanı paneli","KISIM XII MCMC tanıları","@fig-bayesian-diagnostics","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/bayesian_diagnostics.png","0d887c730917ff2f37d4abe870f53fe7","docs/assets/figures/carbon/primary/fig-25-bayesian-diagnostics.svg",142105,"3d9487a871eb511758d405ee61e844c1","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,14,3,12,9
"reliability","EMBU-P ve EMBU-C güvenirlik katsayıları","Psikometrik güvenirlik","@fig-reliability","quarto-native-vector","docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor.qmd","_freeze/docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor/figure-pdf/fig-reliability-1.png","8dca80fd258267f69c2671b86674aac0","docs/assets/figures/carbon/psychometric/psychval-01-reliability.svg",74240,"1b32b8e0ecb1fa21dd401fc9152ea51a","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,20,2,14,10
"floor","EMBU madde düzeyi taban etkisi","Madde taban etkisi","@fig-floor","quarto-native-vector","docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor.qmd","_freeze/docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor/figure-pdf/fig-floor-1.png","b34dc709341802d820a7302bce67bd6d","docs/assets/figures/carbon/psychometric/psychval-02-floor.svg",121866,"015a8415e9fc0c6f5829fad4db368269","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,136,2,25,40
"cfa","CFA ve cluster duyarlılık uyum göstergeleri","CFA uyum göstergeleri","@fig-cfa","quarto-native-vector","docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor.qmd","_freeze/docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor/figure-pdf/fig-cfa-1.png","246ade43633461e3e20247f5589526cd","docs/assets/figures/carbon/psychometric/psychval-03-cfa.svg",79020,"8554ec6f67e667cfa0ffa1614e2d4524","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,48,3,18,24
"invariance","Scalar CFI ölçüm değişmezliği duyarlılığı","Ölçüm değişmezliği","@fig-invariance","quarto-native-vector","docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor.qmd","_freeze/docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor/figure-pdf/fig-invariance-1.png","7fff33c5ca2e14cc204477bc7f6966b9","docs/assets/figures/carbon/psychometric/psychval-04-invariance.svg",75526,"6d5d0aeb325af5f670374671bbca0660","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,9,0,11,10
"icc","EMBU-C aile içi ICC ve indeks-kardeş anlaşması","Aile içi ICC","@fig-icc","quarto-native-vector","docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor.qmd","_freeze/docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor/figure-pdf/fig-icc-1.png","ec0d45102b11f1725bb973c6984a3604","docs/assets/figures/carbon/psychometric/psychval-05-icc.svg",46438,"e05ec85edd0c4ded57f65038fdf2f721","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,10,0,8,4
"validity","Beklenen yönlü geçerlik korelasyonları","Geçerlik korelasyonları","@fig-validity","quarto-native-vector","docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor.qmd","_freeze/docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor/figure-pdf/fig-validity-1.png","bd7774168110cfbdad0c6e0d1e7357ab","docs/assets/figures/carbon/psychometric/psychval-06-validity.svg",100236,"29cfe407e958fb4ae9d1322b2ac52ba4","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,18,0,17,17
"multiverse","EMBU-P reddetme DM-Kontrol multiverse eğrisi","Reddetme multiverse","@fig-multiverse","quarto-native-vector","docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor.qmd","_freeze/docs/analiz_planlari/22-psikometrik-validasyon-butunlesik-rapor/figure-pdf/fig-multiverse-1.png","c7138ccc187abc1fd3595ba651ca6f8d","docs/assets/figures/carbon/psychometric/psychval-07-multiverse.svg",60273,"49acfac01e6b78a642540fad7b640446","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,15,0,9,5
"grup-dagilim","Grup başına dahil edilen aile sayısı","Örneklem grup dağılımı","@fig-grup-dagilim","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/grup-dagilim-1.png","91005caf773590cf098766f4a0961eee","docs/assets/figures/carbon/demographic/demo-01-grup-dagilim.svg",62974,"12c9b5aa88497833c950fca9d7b92db4","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,2,0,5,5
"cocuk-yas-dagilim","Çocuk yaşı ve kardeş yaş farkı dağılımı","Çocuk yaşı ve kardeş yaş farkı","@fig-cocuk-yas-dagilim","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/cocuk-yas-dagilim-1.png","1be25c846c21d0458ffae57a4f4901c5","docs/assets/figures/carbon/demographic/demo-02-cocuk-yas-dagilim.svg",135217,"b4f942454db0bd605b857df144326b6f","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,8,0,16,16
"cinsiyet-grup","İndeks çocuk ve kardeş cinsiyet oranları","Cinsiyet oranları","@fig-cinsiyet-grup","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/cinsiyet-grup-1.png","598602701324700e02f9c75c67bf3326","docs/assets/figures/carbon/demographic/demo-03-cinsiyet-grup.svg",79039,"120066a05ac58dea40a346dba9609cec","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,10,2,9,14
"same-sex","Kardeş çifti cinsiyet kompozisyonu","Kardeş cinsiyet kompozisyonu","@fig-same-sex","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/same-sex-1.png","b7d1cccddb2c397e69f8f7f72ff99ea1","docs/assets/figures/carbon/demographic/demo-04-same-sex.svg",73954,"1900536f64988b5c83dc2c0f9837fe16","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,6,0,7,7
"aile-buyuklugu","Aile büyüklüğü grup bazında dağılım","Aile büyüklüğü","@fig-aile-buyuklugu","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/aile-buyuklugu-1.png","ddb9fcbafe7a94a288b87e87cb571a5b","docs/assets/figures/carbon/demographic/demo-05-aile-buyuklugu.svg",77627,"ef98211bd321dd70121eab8caebef5e2","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,12,0,12,12
"anne-yas","Anne yaşı grup bazında dağılım","Anne yaşı","@fig-anne-yas","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/anne-yas-1.png","dbc54df9ac2534a445823829ca84e80a","docs/assets/figures/carbon/demographic/demo-06-anne-yas.svg",120127,"fa57039908717f1643461ab621aa4382","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,2,0,7,7
"beck-grup","Beck Depresyon Envanteri toplam puanı","Beck toplam puanı","@fig-beck-grup","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/beck-grup-1.png","297a6d34a537a16fcf42667af5b1ff54","docs/assets/figures/carbon/demographic/demo-07-beck-grup.svg",125637,"9c1e5be6f91a57276744486fe1b9bfb3","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,36,0,15,9
"beck-severity","Anne depresyon şiddet kategorisi","Beck şiddet kategorisi","@fig-beck-severity","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/beck-severity-1.png","02cadc01aeacc6769fce7e230a339398","docs/assets/figures/carbon/demographic/demo-08-beck-severity.svg",110244,"5d8e4926d156dda17c657fa691c0f674","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,12,0,10,10
"antidep","Anne antidepresan kullanımı","Antidepresan kullanımı","@fig-antidep","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/antidep-1.png","666c2eec8c0d14e0b2e81ed5496d5ca1","docs/assets/figures/carbon/demographic/demo-09-antidep.svg",95610,"e327ccae781f83c5e0aff81de93987ab","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,3,0,7,7
"ses-density","Latent SES kompozit grup bazında","Latent SES dağılımı","@fig-ses-density","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/ses-density-1.png","d067b16581cd597a4c80d15671d858b0","docs/assets/figures/carbon/demographic/demo-10-ses-density.svg",108150,"3cf9280f14f49b0b3115bd07a8ed48d5","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,4,0,11,11
"egitim","Anne ve eş eğitim seviyesi","Anne/eş eğitim düzeyi","@fig-egitim","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/egitim-1.png","35b3c5c528f7cf8084eebbcef9b08487","docs/assets/figures/carbon/demographic/demo-11-egitim.svg",113893,"f1922d5bf4dd6ab089f02269500c367d","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,25,2,14,20
"dm-eksik","DM grubu klinik gösterge tamamlanma oranı","DM klinik gösterge tamamlanması","@fig-dm-eksik","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/dm-eksik-1.png","a26697e461e292f63354ef061edfe1d4","docs/assets/figures/carbon/demographic/demo-12-dm-eksik.svg",114768,"2a156daa7d752a8be2179dbf4561cb52","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,5,0,10,5
"dm-suresi","DM süresi ve tanı yaşı dağılımları","DM süresi ve tanı yaşı","@fig-dm-suresi","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/dm-suresi-1.png","3128a2377b3549e1cae7560263909d2c","docs/assets/figures/carbon/demographic/demo-15-dm-suresi.svg",122492,"d017e2cff5bbd7d5e984074ca25b8a06","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,27,0,16,16
"tani-strata","DM tanı yaşı üç strata","Tanı yaşı üç strata","@fig-tani-strata","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/tani-strata-1.png","ae6d0c2cc0fa6101e1a84adfc46aa379","docs/assets/figures/carbon/demographic/demo-16-tani-strata.svg",66362,"3d1aa819df16d409f12e45308ee38e0d","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,3,0,8,8
"smd-love","Kovaryat dengesi ham gözlem","Ham kovaryat dengesi","@fig-smd-love","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/smd-love-1.png","113b6298ca61f1de824a9ad11ecead40","docs/assets/figures/carbon/demographic/demo-17-smd-love.svg",146932,"ca8551cf87b2b4e22234091439cf8411","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,63,0,20,20
"ps-density","Logit propensity score dağılımı","Logit propensity yoğunluğu","@fig-ps-density","quarto-native-vector","docs/raporlar/01_demografik_tibbi_rapor.qmd","_freeze/docs/raporlar/01_demografik_tibbi_rapor/figure-html/ps-density-1.png","1b70160444670191fa0040eff3985ec2","docs/assets/figures/carbon/demographic/demo-18-ps-density.svg",102663,"e6fbb60b7db154dab9fd4d37c7fbdf3f","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,4,0,8,8
